model,triton_kernels,cached,error
huggingface/CodeBERTa-small-v1,18,True,
sentence-transformers/all-MiniLM-L6-v2,15,True,
sentence-transformers/all-MiniLM-L12-v2,15,True,
sentence-transformers/all-distilroberta-v1,18,True,
sentence-transformers/paraphrase-MiniLM-L3-v2,15,True,
bert-base-chinese,54,True,
tohoku-nlp/bert-base-japanese-char-v3,16,True,
cl-tohoku/bert-base-japanese-v3,55,True,
tohoku-nlp/bert-large-japanese-v2,16,True,
bert-base-german-cased,54,True,
dbmdz/bert-base-turkish-cased,54,True,
GroNLP/bert-base-dutch-cased,16,True,
dccuchile/distilbert-base-spanish-uncased,13,True,
mrm8488/distilroberta-finetuned-financial-news-sentiment-analysis,19,True,
huggingface/distilbert-base-uncased-finetuned-mnli,45,True,
hfl/chinese-bert-wwm-ext,15,True,
hfl/chinese-roberta-wwm-ext,16,True,
hfl/chinese-macbert-base,54,True,
hfl/chinese-macbert-large,54,True,
roberta-base-openai-detector,19,True,
squeezebert/squeezebert-uncased,45,True,
squeezebert/squeezebert-mnli,45,True,
siebert/sentiment-roberta-large-english,18,True,
EleutherAI/pythia-70m,24,True,
EleutherAI/pythia-160m,24,True,
EleutherAI/pythia-410m,24,True,
EleutherAI/pythia-1b,24,True,
EleutherAI/pythia-1.4b,24,True,
RWKV/RWKV7-Goose-World2.8-0.1B-HF,7,True,
RWKV/RWKV7-Goose-World2.9-0.4B-HF,7,True,
RWKV/RWKV7-Goose-World3-1.5B-HF,7,True,
google/mt5-small,27,True,
google/mt5-base,45,True,
google/mt5-large,45,True,
yikuan8/Clinical-Longformer,73,True,
allenai/led-base-16384,106,True,
allenai/led-large-16384,103,True,
dmis-lab/biobert-base-cased-v1.1,54,True,
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract,54,True,
microsoft/BiomedNLP-PubMedBERT-base-uncased-abstract-fulltext,54,True,
emilyalsentzer/Bio_ClinicalBERT,54,True,
Salesforce/codet5-small,27,True,
Salesforce/codet5-base,45,True,
microsoft/mpnet-base,24,True,
sentence-transformers/all-mpnet-base-v1,24,True,
unsloth/Llama-3.2-1B,31,True,
unsloth/Llama-3.2-3B,30,True,
bigscience/bloomz-560m,36,True,
bigscience/bloomz-1b1,36,True,
microsoft/mdeberta-v3-base,37,True,
facebook/mbart-large-cc25,51,True,
facebook/mbart-large-50,33,True,
google/pegasus-large,21,True,
google/pegasus-xsum,21,True,
google/pegasus-multi_news,21,True,
google/reformer-crime-and-punishment,78,True,
YituTech/conv-bert-base,42,True,
YituTech/conv-bert-small,45,True,
uw-madison/nystromformer-512,21,True,
uw-madison/nystromformer-1024,21,True,
uw-madison/nystromformer-2048,22,True,
microsoft/layoutlm-base-uncased,21,True,
